artist_id,artist_name
5PRPy7MZZhkM5CIVJvTAKM,LaRussell
4sb7rZNN93BSS6Gqgepo4v,Too $hort
2QLM9IFaHBtB16b8ZDaA3A,P-Lo
4BTzb2ExegPasbEDN424hb,MALACHI
40uPOeOQVWuNb6imBRJWjR,D-LO
2hk2X7xeg4QEQwKdnvl0JG,Raymon Marco
42KWzHkbr6Q6BV7gSfYkpl,Michael Sneed
5r7Rbfw8HjHPA5H0lHLyWW,ClayDough
0BajT9ZXitGajSuc16Rass,demahjiae
4hSGrfIm5xRloHXESKxrFd,Richie Rich
1ZerBXsbpj16RGfRQt9GVy,Mutant Academy
2SlUrJAcTYbWR8GcmB9IEi,Quelle Chris
1R2vMNz6qxQFMLynRurh3t,Tdf
4WwnDi7kswmiG3YBZZckuy,Okaymar
5HMY1CQr1MLqFbHpK0EjFz,omgkeon
5PYyVIVpBhBxx7A2OsOfXd,jojo!
6bTQFEks5XtMjDe269MK4i,Spoof
1NfD2bCKgUMw2bwi8uosL5,NYM Riz
5N2HfY7vdwZ6lLVHOW5D14,ohsxnta
089ASSwOW4Cih3frNuDtUv,1oneam
1KCy9bQ4eoGnND4HJpZySg,jssr
5A7T1LAGJg5NXySBoIKUmF,Che
50gamuom7lgwUhlKg1HWMU,thr33
0eHJOmR3T0Q3vd8uWd82sk,wildkarduno
5GypDshVVcsZEHRM2L8W8C,Smokingskul
499mgV4kXjvhKlQ8SItnBX,SiyahXO!
1pWm8RcyiWZehSnb38i4fM,Young Slo-Be
3w6oKUR5lVtFtg6eMjgqao,Killswitch
0FtsMKmZEq8fBWqdSOWtqp,03 Greedo
1J1pGfTqp5ReVIX8Z1Wzsg,BabyChiefDoit
5qhDQveADDnjIZQ85AtgDM,STAR BANDZ
3etG6GnkJEOu2WD8sCErNe,Glorygirl2950
335TWGWGFan4vaacJzSiU8,A. G. Cook
3bg5rmICvmA8dmYVAdKGYH,Actress
0uCCBpmg6MrPb1KY2msceF,Burial
1ah87EalVGzB4AEfY7zm2u,Carrier
1Ry5NkSxX1Ye7kTfUuLL2c,d.silvestre
5lUOHL8wvKFPdDToNHmSxu,MC LELE 011
2XuRl1OJ9suTuuCbdGiimG,MC DENADAI
6Y4NvXeASM3pULvAI92OFW,Dj pablynh da 017
7JM0ahYY9xjYeKVUf3Rauf,MC MTOODIO
2ja6pvYptps6ke3ZWvw9z1,Dj Anderson do Paraiso
7hcLgowsbmmUxHXPmrKHnA,Dj Dg Do Rb
6jGA1tc7Dmes120brVK8q1,Mc Paulin do G
3aU0icXGqgGSvsrukCg4JC,Braian
5E7rzOwgGNU3h95r3rkjJH,Pepeu
1WK8dCQvnCVLKn90QQtgbk,Dãan
7rhTmS9aX9b0LhSJu0by7z,DJ JR
0m7ZBJUmlxUtvuHtTr6XC1,MC Magrella
0Y4cdHWATCmzSm0xuJaX6v,Mc Maykin Do BC
0Vxqvpm9tpZcz6d4egDtjX,MC PR
1An26e0sz6wDS4NvEgWB6W,Mr Bim
1JJq541frMPfUIQiUoVrnp,Mc Laranjinha
38Yog5iHQZZ7BCeR7uvudl,Mc Laureta
7Dq3oCz43MCuWBRgWTltZI,DJ PH DA SERRA
2GAcS9WZyORyDBzd5bwfU5,Dj Vitin do Pc
0MlMFTEEEk0uSwI4hYSxrq,MC Fahah
0KDv0DRXBMVG52hW54sas0,Mc Code
6HPUbM6BB61jpGbYOYMQ9C,DJ Lycox
4HwlolvniI44ETSg5tajeZ,DjRUM
2AR42Ur9PcchQDtEdwkv4L,Floating Points
7Eu1txygG6nJttLHbZdQOh,Four Tet
3bTrwZAKTLYI9zozCH6zxw,Heavee
30qGwXnygZNCzxjN7QsIR0,BABii
4hH4fEXPg3qpTDlmdNOO01,DJ Paypal
4DU6Zwq2Fck3TZU4Rdsj6m,DanTOG
3trICw5vZHfTbcSOjikzq8,HomeSick
2dsG3u5vUZSGpQGEsq1unH,Takuya Nakamura
0tjC8HMcPx5o2ZYsWw5BNK,J. Albert
1Zoaf3n6LhFuN5Ir3Ab4yM,Jane Paknia
14hI6ZlrKB6X81Y046P2MW,Hagop Tchaparian
23QKqAkKwti9zBiac6RFBA,Jlin
7w29UYBi0qsHi5RTcv3lmA,Björk
0M6xcJTswOl2qvExCJhiS3,Kronos Quartet
69lxxQvsfAIoQbB20bEPFC,Philip Glass
0aIpJqqTLf683ojWREc5lg,Joy Orbison
7GblQfA1PogV6RMgys9a7X,Kassie Krut
3n8qeKQViV1waeCzZmS4Tx,Kim Gordon
2TDYu0uxVowgHaYN6P14k2,Loidis
5YaWzI756w0pw1DkJkun5u,Ekko Astral
58f1MCgC8Q0XnjYqEpklz9,Josaleigh Pollett
