track_id,artist_id
3oe8HTtqn1KOTOTXd1X9hP,7FjgkFMkxGiIJ3RkjUBOW4
1lvHFSc6lRFT9NPT1nPm4g,3D85leWRhYigMOKA3EAsk7
1lvHFSc6lRFT9NPT1nPm4g,1ieEINr8JEvF4boxmagQ0E
17Hb9MiDyQ6lUH22IXVm4q,14Ah9L7Sei8VOOty0tZrOR
3vVfuMJbrDpujeSkbXfKZH,4NVdbDAqaEmQE1b8Hdzv87
3vVfuMJbrDpujeSkbXfKZH,7Epz3IWjc9DlVUWUAWO6cc
1k6V3xrVDDgojVZLf2afxn,7uMv9SFI4KLvFZNEJBuaQ7
1k6V3xrVDDgojVZLf2afxn,74aMbFWmUsvRDYTLJqvNY4
5joMlZyoK7mpASnQNgU7pL,20V5Q17099P2NNExkMStg7
5joMlZyoK7mpASnQNgU7pL,7kFfY4UjNdNyaeUgLIEbIF
6kgp8XabvdKTN5cRIpD5Fd,4ASySvRSpoR2o2OEIwLsgz
2lsIra1Y3QwlYdojBnnEWy,6kzUBhaodMw2fjBkfYJQyq
2lsIra1Y3QwlYdojBnnEWy,5TKtPmUsAalKcGatAZ43Mw
2lsIra1Y3QwlYdojBnnEWy,5iFlBbFvl6rLiyQ0PB4U52
41vxwf6fkx5jH9mbWQpeTg,7bYrSokOzrKQjswYHevxMy
3XfSWQn4s0xqZ3kE6A1FrG,74aMbFWmUsvRDYTLJqvNY4
40gFTtImKz6Xyvy9APeEd4,14Ah9L7Sei8VOOty0tZrOR
7HfRMlroYfEMxxku8HDM07,4ASySvRSpoR2o2OEIwLsgz
7qj4cuBLq2cxgmyTTMYWVL,1b9SeAw3fn9wYT6NxP68H7
5fPdvGTimJkYRAtWo2SP4s,20V5Q17099P2NNExkMStg7
5fPdvGTimJkYRAtWo2SP4s,3zZ88AwlTwfCJkowsFCvLA
08GYr9bDrjN6kzd5E5Tpto,4NVdbDAqaEmQE1b8Hdzv87
08GYr9bDrjN6kzd5E5Tpto,420h4ODjbzkMDCuedOlnC9
6iycYUk3oB0NPMdaDUrN1w,699OTQXzgjhIYAHMy9RyPD
4LYXtoiuM9xEmxklVvQnLl,2GJa7lPCjAB1rKXptXrfy8
5NHTGOuIM4GnLCoPTYnlvW,1B8ycQsEGw3fUTkzWs5kFD
5NHTGOuIM4GnLCoPTYnlvW,4bmyQalHgw8xZFJ116P3ir
5NHTGOuIM4GnLCoPTYnlvW,4I9SixgrOaKltrQkY8o43u
7thg7g3OnKx2jyB1sF8cBj,6chuFWw4BmHxOc3X0cC8Ct
2eIcjpotUGm07AaySZyaD6,278vNvolx8H3sQJ2hgOMnh
3y2Y3Bc6GDxAWAMIpbW7RU,6tbjWDEIzxoDsBA1FuhfPW
6EYfXWfam0xXW4ZCi95sTh,1URVdcNYXigvk6Dj0fHYOM
011fAS8HOyETmRgbb2II0r,6YIiMThynFkSRr8SCs2ZW8
4u3Aajaq6TYC9tElKr3p6C,0qc4BFxcwRFZfevTck4fOi
3m1LiSq0rio8k0yYlusWxV,4gvjmrtzydbMpyJaXUtwvP
1VXIzOxDU13PxUodLvJnL4,62vRPmO2KknlG5VCefR1D3
4jJUp80RGE4cwlMsCQl61f,6Lq0JPdh83AUSeMfuMPCjy
7DSav0jACJVJwapOUFtrP7,1nmVkT3ow1TfNZS44sxM81
2mPLK7I9bhw0xQelkk95c4,29rvPhemBdOLYdLr2xI8dr
2xTk9wtJ6mWf7YV6ppmdCK,2jl4qd6UbzeCmImT4nWbtA
2xTk9wtJ6mWf7YV6ppmdCK,2oM7LMPFu882oC6jSwEqjd
5qIRp1Pyyb10vbZ722NFvc,41CdW0otOaIg40HyVDPm2F
4sJpBTmkQ48MQeVudtmwuS,6IEfd4F10D3zvJ9N6DNmvK
2WI9w3LqMQDI7VUXV89yz6,7JU13ATc2v3kzIuSqNNPWN
1xIBneGJOCXKkC7STYXx7J,4SoviLvroJl2aJeS705mW1
6H4kOh8P6QXchBBMSmktDU,3gJ7vM5lzXzYuYpnPy9WAL
6x0IMpZqgkMuTR1DtogeB1,3OjHheO3tGN2W2crotl1wm
1B4oRri6dAgfHrKwCoYIiv,3OjHheO3tGN2W2crotl1wm
1sQ09IH8kBX34CzJmzrU56,3OjHheO3tGN2W2crotl1wm
1L3NzB5c2kDzvYr4EbW0Se,3OjHheO3tGN2W2crotl1wm
2S0ZxJojXXCaX3OC4WPWMq,3OjHheO3tGN2W2crotl1wm
2S0ZxJojXXCaX3OC4WPWMq,4Gtzh7weljnb1F9pjB1ZKf
0a6Dm9j5g3aDuJMep8kl42,3OjHheO3tGN2W2crotl1wm
6jqYcKpgAxliUMYHayhSHn,3OjHheO3tGN2W2crotl1wm
4UqugYFwfUBZFxScocKWLJ,3OjHheO3tGN2W2crotl1wm
